,Review,Star
10,1 crusty plate and 1 powersteam bowl missing.,1.0
11,"Your browser does not support HTML5 video.


   The Ceramic cavity by far more most reliable and uniform cooking oven . Extremely easy to clean and the food cooks healthy . The functions are easy to use and the machine is extreme reliable . Be it heating the food or baking , it has provided flawless services.Grill effect also super 2 types of grill table for free only worth of 1500 rs, they arrange me for oven demo and send phone no for samsung service no. also very good response and high quality oven.Thanks to Samsung, Cloudtail, Amazon.",1.0
12,"I got it in Amazon Prime sale. The delivery was as smooth as Amazons. The Samsung installation technician was lined up for next day of delivery, he came in and gave the demo, ofcourse for free.Coming to the product, its just superb. Ive baked cookies, tandoori, cakes and papad in it. Just perfection. The microwave option does its part every day as well. There are 2 different level steel grills with the oven, and the rotating disk inside. Ive seen complaints regarding some crusty bowl but neither was it promised to me nor did I get it in delivery so theres not duping of any sort. Its just a fantastic product from a reputed manufactured and sold by Samsung themselves, listed on a genuine site. Just go for it! I got some solid discount in sale + no cost EMI, cant refuse such a deal haha!",1.0
13,"I bought this for my parent's house and i was using a similar product from Samsung for last 4years without any problem. The product is of very good quality which is evident from the zero issues that we faced in last 4 years.The program panel is very intuitive and easy to use (entering time for long time baking is bit difficult, since the time increment is 10secs).The one that we purchased now heats up a bit more than the one i bought 4yrs back.But all in all very happy with the product & its quality.",4.0
14,"I personally think that Samsung is the Best Available Option in India on all grounds.. But after all it's represented locally by the Local Service Center Goons (Yes it's Goons) and unless they are not willing to give good service a Good Company will also not succeed.. I think Samsung has to do some Research at my Location about how much Business does it do directly and indirectly..Another thing I'm very much disappointed about is the LENGTH OF POWER CABLE.. Whether it's Mobile Charger or any other product, there must be some Standards about the same. Formerly I had an IFB MW and then I bought this.. Now I'll have to reorganise the Electricals ONLY because the length of the Power Cable..My advice to Samsung is a Famous Proverb in Gujarati Language which means that YOU CANNOT REDUCE THE WEIGHT OF A CORPSE BY REMOVING ITS PUBIC HAIR..Thanks..",4.4
15,The only negative about this product is that the door locks of this oven the two clip is made out of plastic.Should be careful while using it any harsh closing or opening of this product may damage its lock and Samsung doesn't provide warranty to the plastic items on the ovenOther than this it's a great oven best at this price point,4.0
16,"The product is good but I have issues with the handling of items by the amazon delivery agents. I saw the box was almost thrown on ground from the delivery van. Then it was dragged and rolled by the delivery person to bring in my apartment (all thanks to cctv). Also the microwave was in its standard packaging provided by the manufacturer, amazon didn't provide its additional layer of packaging which its normally does. Luckily the product was not damaged and was in good condition so I kept it. I would request the amazon officials to look into these kind of issues wherein the there is a risk of receiving a damaged product due to somme careless behavoiur of delivery agents.Apart from the delivery issues, the product is good. All the three modes i.e. Microwave, Convection ang Grill work fine. Although there is some scope of improvement for Grill mode but at this price point you can't expect too much.",1.0
17,Samsung sent their representative to demo the product after I received from Amazon.  Has many features that we are yet to sue. A good  microwave oven.,1.0
18,"Very bad, bought it less than a month back and the digital display is already completely blanked out, please send some one to set it right or take it back and refund my money",5.0
19,"It's good for its price.It doesn't have buttons to press exact minutes for cooking, instead u need to long press to reac to desire minutes, it wastes so much time to do so.Max convention temp is only 200 degree C.Others are all good.",5.0
20,"Problem with its time setting,There is no any space to lift it or carry one place to other,Most important thing there are atleast 6 screw missing . So in some cases I don't like amazon service",5.0
21,DAMAGE PRODUCT....DONT BUY....SAME PRODUCT IS SOLD TO EVERY ONE,4.0
22,"This is my 3rd Samsung Microwave  . 1st purchased in 2001 , 2nd in 2010 and 3rd 2021 Feb .  All Three Models have been Convection Ones .  The Ceramic cavity by far more most reliable and uniform cooking oven . Extremely easy to clean and the food cooks healthy .  The functions are easy to use and the machine is extreme reliable .  Be it heating the food or baking , it has provided flawless services.",1.0
23,Great product by Samsung.Delivered in perfect conditionCooks better and feels fresh. Cooking feels better than my steel cavity oven that I had.Rustfree is the reason I bought it and I expect it to be rust free for a long time as it is ceramic capacity.,5.0
24,"At this price range it is quite good products and comes with good accessories too.Even though this model is old, but this is only one I saw in the price range which gave me the accessories like - grillers.Go for it.",5.0
25,"The glass rotating table chipped off within 30 days of usage. Timer only allows 30 second increments, which takes very long to select 30 minutes when I have to bake a cake. Really regretting buying this.",5.0
26,Bought the product 3 months back - have been utilizing it on a daily basis - works very well and no issues reportedAlso the product was delivered nicely packed and the service came in on time to explain about the features - very good service given,5.0
27,"..then this happened and I was sad. So, no microwave for me. :'( Giving two stars for the looks.",1.0
28,I bought this in Great indian festival and the Product is good and fulfilled my expectations. The features are as promised and its pretty much good for family of 4-6 members. I am satisfied with the product and have most of the advanced options. It's value for money and blindly you can for for it. The product is delivered as promised with all the contents on time. Installation and demo was provided user-friendly. I am really impressed and overall a good worthwhile product !!,5.0
29,"I am unable to understand the way this microwave works, we are trying to create pizza at home, including dough formation from the beginning but unable to understand the mode/ timing/ and settings which we need to keep for making the pizza.Hope anyone can help with this",4.4
30,"Damaged product need, replacement",4.0
31,"This is the second time I purchased product of Samsung,  first one model CK98F purchased during the year 2000 and gave 20 years problem free service that is why this time also I opted Samsung brand. This model is also nice product viz; quality and user friendly.",1.0
32,Touchpad feature is really good.. simple processes to learn and operate.,1.0
33,Good one. Was able to successfully bake cookies and cakes without any issues. Not that great for grilling purposes though. Overall it's good as it has many functions and also works well,1.0
34,We didn't  get any bowl or plate but before order amazon offered me this item inculcated,1.0
35,Item is very good.  Easy to use. Working nicely.  Delivery from Delhi to Jamshedpur via Kolkata done in two days as per schedule.  Received Oct20 mfg product at extraordinary offer price. Delighted.,1.0
36,Did not received the kit. Just two grills.,5.0
37,"At this price, you are getting convection, grill, and microwave. Good for mid-size families.",5.0
38,Oven not working properlyNot heating as how it should heat. Even for a 20minutes heating dish its taking one hour. For a one hour dish it's taking two and half hours which is ridiculous.,4.0
39,"Your browser does not support HTML5 video.


   It's a bit noisy.. otherwise it's fine..",1.0
40,Excellent MWO. Very happy to purchase this Samsung model as replacement of our old one (another brand).,5.0
41,There’s a dent on the upper surface. Nobody is even picking at phone at Samsung Customer Care. What a pathetic service.,2.0
42,"Auto cleaning by steam not available but it's not big issue, touch option also not available but best in class and best in price.",2.0
43,It is made in malaysia. Easy to use and it heats uniformly which many microwaves donot. good value for money,4.0
44,Terrific from Samsung. A beast performance. Only suggestion buy when offer is going on else price is bit higher side.,4.0
45,to make curd it takes 7-9 hrs.and further cooking book says keep it in fridge for further 6 hrs.that means to make on samsung microwave it will take 15 hrs great  stuff from samsung.never thought samsung will give such product.i feel sad,4.0
46,I crusty plate is missing,4.4
47,Very bad product. Not able to make anything in this very difficult to use... even demo guy was not able to use this properly. I want to return this product.,4.0
48,Very good easy to use only onthing till now not visited demo executive ....allvese costumer care busy I tried lot of times no response thank u for sumsung costumer care......,1.0
49,One day the turntable was not working but heat was there and in the other day it become ok i think because of power supply . And I have tried making bread and buns but that wasn't good. And then everything is ok,1.0
50,Easy to use but max temp is just 200°C,1.0
51,Nice one,5.0
52,It's not convection.But it was written convection while checking,5.0
53,Amazing product from Samsung at this price range and very handy to use .,5.0
54,Easy to use even for beginners,5.0
55,Delivered incomplete kit missing baking plate after using 3rd tym you may get sparks inside,1.0
56,"Excellent multipurpose product for cooking, baking and reheating.",5.0
57,the oven was easy to handle and we can make nonveg dishes with less oil.,5.0
58,"Great product, easy to handle.",1.0
59,Product delivered as promised. Packaging is excellent. We are so happy by seeing the product.,5.0
0,We have received  duplicate  products which was agreed aftermultiple  call with amazon also we send back the product.  It was pathetic situation  on spend more then 10k products. I suggest  don't entertain  to buy this product,4.2
1,Hi this product don't purchase because after one month keep struck timing watch not working properly as per my expectations it's running very slowly every after two days need to be set the time  now I am trying to return but time is over now its problem how can I keep touch. So friends my suggestion don't buy this product after you feel suffer,5.0
2,The product was either used or fake. Recieved it without any tag.. tag had already been cut out and the watch didn't even fit in the box send with it,1.0
3,Received Fake watch.1.Redline under watch and2.Strip is having a different color other than black(Finishing). I know Fossil will not make such a kind of finishing. Please reconsider this supplier for your credit worthyness.,1.0
4,"Product was in perfect condition, packaged well and delivered well within the delivery dates...Can't complain...The quality of the product is obviously great. Check with the barcode online the product is genuine and i didn't need to check it online the feel of the product exuberated quality... Very happy to have bought it at 6.7k",1.0
5,"Somewhere in discription it is written to refer to size guide for strap length. It's a bit bulky and long strap watch. Three stars for not keeping the strap length option, and unsynchronized timer, it goes back by 5 min when reset, not to zero. Everything else is good.",1.0
6,"I have revieved an used watch, the packaging was completely damaged and the watch was covered with full of dust, dint had any tags and covers on the belt. The quality of the belt was worst. Failed to impress and definitely Not worth 6-7k money.  Not recommended",1.0
7,"Feels decent, does not feel durable because of black powder coating on some areas. Watch is also too heavy for its size.",5.0
8,I bought it for my Father. It's bit heavy but looks more masculine.Just buy it during promo period to save some bucks,5.0
9,"Very premium segment watch love the way it look and feel , packaging and devilery was very good , go for it if u have affection towards branded watch",3.0
10,Good,1.0
11,This Black Metal looks Amazing. Dial looks slightly bigger than what I expected.,1.0
12,"Good designs, looks premium",5.0
13,The strap is broken. I am very disappointed as i paid ectra for delivery on the same day. I ignored the reviews and ended up buying it.,5.0
14,The stopwatch was not calibrated properly.It was scratched at the straps.The watch looks good except for the defaults mentioned above .,5.0
15,"Good product.. Bt between the chains there is no finishing.. I think for every watches its like that only.. Anyway i like to wear, it gives you classy look.",4.2
16,Too good,5.0
17,The product is fake and its not original.There is no finishing at all. Don't buy it,1.0
18,It's original and very stylish........,5.0
19,"what do you need a second and minute function in the chronograph for, it's already there....besides the chronograph it's a nice watch",5.0
0,Was to be used by my kid for online school.. But the system takes ten minutes to start and freezes every once a while.,3.5
1,"Your browser does not support HTML5 video.


   It’s good for students & entrepreneurs for business go for it without hesitation...",5.0
2,It's has a grat screen quality and gaming is very nice. It has a great features. Great laptop of Hp.,1.0
3,Good for only normal use like online learning video streaming etc..,1.0
4,"Not satisfied in speed , a very basic laptop",5.0
5,"Overall great value for money laptop for students, performance not great, good for learning purpose.",4.0
6,Completely west of money. Did not expected from HP to build such kind of products. No use at all.,5.0
7,Waste of money. Buy only if you have patience to watch the dull screen to respond.  Why hp is saying for students n professional?It's for last person on earth.Why hp is building such product in market first place?,2.0
8,Hey teamI have received my Laptop💻 HPAnd inform you that I have given name Pikachu..This is my 25 birthday gift to me..Thanks you everyone..Good jobSapana dhundhDM1 Icicibank,4.0
9,Very bad experience.......,1.0
10,Lap was very slow and little bit hangy...🤐,1.0
11,Best laptop thanks amazon,5.0
12,Good,5.0
13,Wort productUseless,1.0
14,Need URGENT HELP,3.5
15,Good for office work,5.0
16,Good to buy,1.0
17,Wonderful product,3.0
18,Laptop slowness,3.0
19,White Patch on display,5.0
20,Slow processor,5.0
21,,1.0
22,Good one,1.0
23,Dislike,4.0
24,Must buy laptopWorks great for the pricePremium build qualitySaw its Unboxing video on Channel : Unboxing 4 U,4.0
25,"I bought this laptop about a month ago.This is my first laptop as I used tablets earlier. To be honest I have never experienced such a worst experience before, I use this mainly to attend online classes and watch YouTube. Even when not in use the idle ram usage is very high.Although it says it has 500mb vram. The maximum fps I get is 10-15 on a very low end game. Thinking this might be the issue with my current software (windows 10) I upgraded it to windows 11 which made it a little better but still not upto expectations. If you wanna buy this laptop even after all these issues I suggest u to upgrade its ram which even requires an extra 3-4k. There is a lot of good laptops out there for these prices. I am giving 5 star so u see this review on top",4.0
26,"LAPTOP is best in this price range you can play games too like gta and many more. Whoever said you can't play gta said it totally wrong.But one thing to remember this lqptop isn't build for gaming this is a office uses laptop so don't expect too high gaming. It work woth average gaming if you want to buy only for gaming then go for ryzen 5, i5 or more. Below ryzen 5 and i5 this one stands out it is faster than i3 and ryzen 3",2.0
27,laptop is good and budget friendly but it needs more stable performance it feels some time very laggy.need more updates to improve,1.0
28,"This is super slow . When I purchased this I didn't have much knowledge about computers so I got this laptop just by seeing it's windows and storage . Don't buy this laptop , as its processor is not so good. You should buy processor like i3 or ryzen 3 they are good .",3.5
29,Don't go for this product. Totally waste of money. My hard earned money wasted because of this product. Not even working for 1 month.,5.0
30,"I didn't buy it from here but all are nice except camera .it is 0.3 MP camera.best for gaming,streaming and online classes",1.0
31,It is best to use it for school children. Simple design and affordable price. I think it is light weight.,2.0
32,"Nothing much, value for money, Hp is quality brand , and this laptop is also very good. . . .",1.0
33,Its very slow even its having basic windows appsTakes 5 min to open a simple Microsoft word,1.0
0,"This is a perfect mobile for you,1. If you properly read the spec before buying this mobile2. If you don't expect all iPhone features in this mobile,3. if you are not a addictive gamer,4. If you don't expect your mobile to be a speaker,5. If you do concern about your data handled in Chinese mobiles,6. If you need better SAR value,7. If your first preference is battery, and decent level of camera quality,8. If you need all trending features to be covered in non Chinese mobile,THEN GO FOR IT... ALSO TRY TO UPDATE TO LATEST SOFTWARE ONCE AFTER SETTING UP YOUR MOBILE, OTHERWISE HEATING ISSUE WILL BE THERE.",4.4
1,"After using for more than 2 day's I must say, snapdragon 730g works wonderful .CAMERA.This time M series did a honest job by giving us a INTELLI camera of 64 mega Pixcel and more feature in selfie camera.DISPLAY & FINGERPRINT.With Samsung SuperAmoled display you can truly trust the amazing view angle. Now in M51 feature of Widevine L Certification you can enjoy all those global Dolby theatre experience. I found it reliable for my 1920p to 4k level of movie watching without any distraction due to Infinite O display which gives Full Screen Ratio. Fingerprint on side is much faster than I expected. It doesn't takes a second also to open. Even FaceUnlock is faster.Superior, as it matches any S series flagship premium in classy look, strong built for this budget amount. 6.7 inches display is good to handle as it is well managed for one hand use also.",5.0
2,"My take after using the handset for 4 days:1. Display: Superb. Big, crystal clear, bright and everything you can expect from a samsung super amoled plus screen.2. Camera: Very good. Night mode could have been better.3. Sound: Speakers: Better than average, earphones: good4. Battery: Very good. But expected more backup from a 7000 mah battery. Had to charge it once a day for the last 4 days.5. UI: The one-ui provided here is different from the one provided in A series. The one that comes with A series phones like A50 etc is more user friendly and has more features like Secure folder, timer etc. Also, the Samsung notes app in A series is far better than the one provided here. In this price, an UI at par with the leading A series phones is expected.6. Processor: Good for normal use.7. Finger print unlock is fast and smooth.8. No case/ back cover and no earphone.9. A bit overpriced.",1.0
3,"I have been using this from starting. Ordered on 18th sep and get this phone very next day 19th. Here is my overall review.1. Battery - tremendous and optimization is on next level2. Display - It's great display ever.3. Speed - faster then ever ( compared to my other phones )4. Gaming - Very powerful no laging ( played COD, Hitman Sniper, Asphalt 9)But wait, in the meantime I've faced some issues on the phone as well.1. Voice call - call is fine but when call is placed on speaker children voice could not be heard by other. On normal call it's perfect but on speaker it's not. Adult voice can be heard from a distance but children voice can't. even the phone is just near the face. This issue can lead you the problem while you're on whatsapp video call as well. First I thought it was just whatsapp issue but after certain test it's major issue on voice call. Tested with safe mode and also after factory reset (without any other third party applications)2. Fingerprint sensor - It's fine and fast. But wait. you need to setup both hands fingers so it's easy to use. Maybe if the finger print sensor placed on in-display then it's better than this but if you map with both hand fingers and thumb then it's easy. Other wise you've to wait for 30 seconds if the finger not matched for 5 times.3. Galaxy Apps - Disable it otherwise unnecessary apps and bloatware will be install automatically.4. Knox - It's displaying secured by Knox but secure folder is not there. Which should be.I have replaced the product but still the microphone issue is there so plz be carefull with this.",5.0
4,"It has issue with camera in night mode and pro mode.It seems like there is dust present on camera sensor which is only visible in dark photos. When photo is clicked with lens covered completely,  it shows hundreds of white spots in image, same happens with pro mode too. (This is not regular image noise)",5.0
5,"1. NO secure folder option, This phone SUCKS.2.Processor is old same as A80 (launched in April 19)2. Display is Good3. Back Panel (it's plastic wanna be glass;) , watch it on the first and last time at unboxing cause it won't be same anymore)4. Not Camera monster it's a camera average, they show 64 MP its 64 MP, which takes 3-6 seconds for one snap. Till then moment is already gone.5. Battery works only for a day.For 27K it doesn't worth it.Don't buy it, seriously.",5.0
6,"Initial experiences:- Adaptive brightness/ Ambient Display: Frequent screen flickering and unstable; had to disable.- Fingerprint Scanner: Poor quality, frequently asks you to wipe..- No preapplied screen film or back-case supplied.+ Nice AMOLED panel and crisp viewing experience.+ Not bulky or uneasy to hold contrary to common perception.+ Biiig battery which lasts looong.+ Good reception and call quality.+ Not Chinese+ Better than Oneplus Nord (don't look at 5G, let our 4Gs work efficiently as of now!)+ Top notch performance.",5.0
7,"I have ordered this mobile on the first day of the sale at 12 o clock sharp. Yes there are some good features, But let's talk only about the CONS. The reason for talking about the CONS as the PROS are talked by other friends.  1) Vibration of the mobile is more and can't hold the mobile for longer time.  2) Mobile is higher priced compared to other same configuration devices and no tempered glass or case has been provided.  3) Guys Please check the Specific Absorption Rate (SAR Value) before buy any mobile and in this its more which affects Head and Body and not good for health.  4) Weight of the mobile is MORE and finally I won't recommend this.",5.0
8,"Camera - GoodFast charge - GoodDisplay - AwesomePerformance - GreatBattery Backup - It's Not Like 7000mah, Average ( Like 4000mah ) Need Optimization2-3 times Play Store Getting Crashed....Otherwise Good to Buy.......Amazon very good Delivery.......NoEarphone And Softcase",1.0
9,"First impressions: the celestial black colour looks really good and elegant. Looks better than in pics or videos. The phone feels solid in hand. The screen is large and great quality punchy colors. The screen is also very bright.Performance too seems good except that the real performance will be known a while later as Samsung mobile tend to slow down with time. The back is a fingerprint magnet, so a case is a must.The battery is really a beast and charger is decent too. Battery easily lasts 2 days with average use, even with heavy use it lasts one and a half days.Camera Performance is great at this price. The pictures and videos come out great.I got the 6gb variant with hdfc offer and with HDFC smart buy, the price should come down to 22000. Its a great phone at this price. Most of the cons mentioned in online reviews are not for me. I am happy with this phone.Why I preferred M51 over Nord? M51 ticks all the right boxes for me. A great screen for watching videos, good casual gaming, a great battery lasting at least 2 days, a better camera, 128 gb storage with microsd card support  and at a price which is Rs. 3000  cheaper. I already have Samsung and Oneplus phones at home. So I can say with confidence that you won't go wrong with any of the brand.My overall first impression is that its a great phone with almost all things that one may need at this price. Will keep updating.",2.0
10,I received the phone on the very next day of the sale.Unfortunately I am facing issue with loudspeaker and mic. So the primary thing of a phone (calling) is not working properly.Even after replacement facing the same issue.,2.0
11,"Charging and display quality is good..No hangsHeating is not obsereved during charging or using mobile.Diasble galaxy store otherwise bloatware is installed continuously.I didn't find mobile is heavy , weight management is excellent. Otherwise it's as usual normal android.. phone.. camera I didn't like much both front and back useless. I purchased this phone esp for display and battery. For small hands mobile is bit tall not width wise..Macro photo lots of granules seeing.. I think in my phone macro lens is defective.. speaker output is not good. 3.2 gb ram used out of 8 gb by default ..",3.0
12,Great phone with good battery life the battery usually lasts for 2 days on light usage and charges super quick,4.0
13,"Pros:1. Value for money buy at 23k considering the offers.Try to get it at this price range by bank offers being offered.2. Camera is brilliant.Compared to OnePlus Nord and others in this price range.3. Snapdragon 730G optimized very well.Processor is snappy.Compared to other brands (realme 7 pro, one plus nord), it gives faster perfomance as it has been properly optimized.4. Battery is the top selling point for this phone.I have to take office calls for 5/6 hours a day, including webex meetings with wifi always on.It still last me 1.5 days.5. Display is excellent even though it is providing 60 hz refresh rate.Amoled display of samsung is brilliant as always.Cons:1. Back is plastic. Does feeling like a 25k phone.But as 7000mah battery had to be adjusted in a compact way, samsung had to compromise  with the design.2. 4k/1080p videos can't  record in 60fps.Doesn't  bother me much, it depends on your preference.",1.0
14,"Samsung delivered defective piece and had to gone through replacement cycle. Believe me, on Amazon getting replacement is not easy.  It was a manufacturing defect.Do see your phone thoroughly, as soon as you receive to check for defect.*** Amazon has no return policy on electronic items, even if product is damaged. They dont care. ***Finally after getting product :Camera, User Interface : GoodHeavy (because of mega battery). Its a big phone, so personally I am not finding it handy.Battery life : still need to find.",3.0
15,"This is the best phone in 25000 segment  730G processor with 7000 mah battery with 25w fast chargingThe display quality is amazing as it is S amoled panelThe 64 mp camera captures amazing details it also has night mode and slowmo, hyperlapse, one take, macro camera is not good tho . It tried fortnite it can run on medium graphics with 30fps limit and its pretty smooth thanks to 730G . The front facing camera quality is very good  i have attached pic of  ram usuage with no background app running one thing i didnt like was u cannot zoom in when u set to 64mp camera mode and it is filled with unnecessary apps like daily hunt and many others",5.0
16,"Ibought it for 24,999 but now it's 19,499. Cheap phone but samsung looted me. Be aware of foreign countries. Either is Chinese or any other.",4.4
17,"Well, as compared to the same feature range phones. The price seems to be 2-3k high. But if you are bored of charging your phone every 6 hours, you have a relief here with 7000 mAh battery, which doesn't  disappoint you.  I choose primarily for the battery and it lived up to the point that it stated. With playing 1 hour of playing COD, using hotspot for a full day and browsing it lasted for more then 40 hours and there is a battery saver mode too, which will last for a week if you are travelling out and need to use phone for only call and minimum usage.But, if you are a non-stop gamer it will last a day depending on the usage.Pros:Display is good, performance is fine, battery is stand out. The camera is also good and bixby vision is cool. Many edited features come with the camera, that is added advantage. Sensors are good and fast too. The weight is well balanced, you won't feel the weight after a day's usage. Charging is quite quick. Rest of phone's features are fine.Cons:Plastic built body, no tempered glass or case is provided within the box. The speakers are located at the bottom which is uncomfortable if we hold the phone in two hands and watch videos or play games. In dark, the screen display may cause some burden to the eyes, which I did not face earlier. The background apps keeps running until you close them or optimize the battery which will automatically close all the background running appVerdict:Little high-priced, very good battery and a satisfactory performance.",5.0
18,"Awesome phone..all good reviews..1.definitely heavy, what else u can expect with huge 7000 battery, yet manageable.. u cant hold and watch movies or matches for long u need a stand..have to use Bluetooth or wired headset while talking as its heavy, u feel it slips off2. Stunning display amoled at its best..watched Enola holmes3. need back cover else scratches will be evident glaringly and lose its premium feelMost important worrying fact is SAR value at 1.3, the only fact I am disappointed with samsung..u can check dailling *#07#..ps samsung are valued for low sarAudio loud speaker I am not satisfied",1.0
19,"I have been using Samsung Phones ever since they ventured into Smart Phones. I had privilege of using majority of Samsung Phones like Galaxy S2, Samsung Grand, Samsung S6, Samsung S9+, Samsung Note 3 and Samsung S10.When Samsung launched M51, like many I think I am also fooled by aggressive marketing campaign and youtube reviews by youtubers like Technical Guruji (I unsubscribed his channel due to fraud review)Why I purchased this phone because ofBrand SamsungExpected Good Camera SetupExpected Good Build QualityExpected Good PackagingAnd for this I have paid good price of INR 25KWhy I am disappointedBuild quality is quite inferior it's cheap plastic that use to come in phones like Karbon or Lava in 2012-2013.Camera setup is quite average, they say it's triple camera but picture quality is not so great, night shots are average, I think if you buy brands like Xiaomi you get better pictures by spending less amount. Probably that's why Samsung is marketing Single Take feature, which I think won't work if camera is average.Packaging, after paying INR 25K one expects box to include stuff like Phone Cover as these days majority of manufacturers, but here it comes with cheap quality of Box, that has nothing but a cheap charger with very poor quality of packaging, now a days many manufacturers are also putting the screen protectors at cheap cost, Samsung should take a note.Phone weighs quite heavy and is not easy to use with one hand, this is something nobody is telling, probably thats the only reason Samsung has degraded the build quality.What is good about this phoneBattery - Certainly that's the only feature for which I paid INR 25K. But are you willing to pay this much for a phone that's more of power bank.Headphone Jack - Samsung has retained it, and it's output is pretty good.Apart from that phone has same processor like Samsung A80, which comes with better camera setup and better build quality.Therefore I feel Samsung is over charging customers for this device and it should not cost more then INR 15K - 18K.So if you are only looking for battery and headphone jack then spend money on this one and If anyone wants to contact me I am ready to resell mine at 20%  discount.I wish they had option of giving zero stars.Amazon I am sorry this is my worst ever Amazon shopping experience which I regret everyday when I see what I got.",1.0
20,"Huge battery backup 7000mAh, 64mp Sony camera with other wide angle and selfie camera, fast snapdragon 730g makes the purchase worthy plus the introductory  card offers, although 24k is better bet for provided feature. Samsung should attempt at providing back cover plus screen protector if charging extra bucks extra along with some features of knoxx security( nfc is old)... Side mounted finger print scanner is regular type and not that fast or secure as I expected. Pride of holding an Indian assembled non Chinese phone from a leading global brand, Glad to return back to Samsung as my earlier experience of choppy display and heating  phone was horribleSound volume is not that comparable to a 25k or 27k phone, exclusive C type double ended usb is difficult  in connecting to some other set of devices( may be I'm feeling new as I upgraded from lenovo k6 after 4 years),M51 is a choice for someone not finding enough time to charge in between his day job and this phone charges in just 115 mins approx from 0-100% and about 30-35% in 30 mins . Monstrous capacity even with heavy use",4.0
21,"Buying phone at 25k, with better than this features available for 18k from Chinese Mobiles companies.. Just coz Samsung not Chinese. But is Samsung misusing Indians sentiments? Then what  when others are providing Gorilla Glass 5 front and Back.. This Samsung is giving plastic back, which easily get scratches and least bothered of phone maintainance. Atleast they could have provided back cover worth of Rs.50/- which is absense. Samsung is so harsh on customer paying 25k for his phone. This will not run for long. We don't brother buying Chinese phone if this attitude continues. Indian need to think. Chinese mobile companies manufacturing mobiles in India.. Also they are giving jobs to our people and many families are running.Why should be bothered, one who doesn't care of their customers.",5.0
